Product,Price,fecha
Glicerina Refinada Alimenticia,6183.41,
COSTO_POTE,1055.96635,2026-04-08 03:18:20.733666
Nipagin Metilparabeno,23280.62,
Carbopol Acrypol 940,24179.5,
Trietanolamina 85%,7219.62,
Glicerina Refinada Alimenticia,6183.41,
COSTO_POTE,1055.96635,2026-04-08 13:49:18.328257
Nipagin Metilparabeno,23280.62,
Carbopol Acrypol 940,24179.5,
Trietanolamina 85%,7219.62,
Glicerina Refinada Alimenticia,6183.41,
COSTO_POTE,1055.96635,2026-04-09 02:54:05.467866
Nipagin Metilparabeno,23198.35,
Carbopol Acrypol 940,24094.06,
Trietanolamina 85%,7194.11,
Glicerina Refinada Alimenticia,6161.68,
COSTO_POTE,1052.238,2026-04-09 13:59:34.066457
Nipagin Metilparabeno,23198.35,
Carbopol Acrypol 940,24094.06,
Trietanolamina 85%,7194.11,
Glicerina Refinada Alimenticia,6161.68,
COSTO_POTE,1052.238,2026-04-10 03:26:42.404424
Nipagin Metilparabeno,23198.35,
Carbopol Acrypol 940,24094.06,
Trietanolamina 85%,7194.11,
Glicerina Refinada Alimenticia,6161.68,
COSTO_POTE,1052.238,2026-04-10 13:26:17.311879
Nipagin Metilparabeno,23198.35,
Carbopol Acrypol 940,24094.06,
Trietanolamina 85%,7194.11,
Glicerina Refinada Alimenticia,6161.68,
COSTO_POTE,1052.238,2026-04-11 02:50:52.700592
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-11 13:13:50.880186
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-12 03:30:26.251276
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-12 13:16:15.137829
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-13 03:36:55.023217
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-13 13:57:41.251517
Nipagin Metilparabeno,22952.07,
Carbopol Acrypol 940,23838.24,
Trietanolamina 85%,7143.74,
Glicerina Refinada Alimenticia,6122.65,
COSTO_POTE,1042.3761000000002,2026-04-14 03:26:30.921029
Nipagin Metilparabeno,22787.7,
Carbopol Acrypol 940,23667.53,
Trietanolamina 85%,7092.7,
Glicerina Refinada Alimenticia,6079.17,
COSTO_POTE,1034.9234999999999,2026-04-14 14:01:43.685986
Nipagin Metilparabeno,22787.7,
Carbopol Acrypol 940,23667.53,
Trietanolamina 85%,7092.7,
Glicerina Refinada Alimenticia,6079.17,
COSTO_POTE,1034.9234999999999,2026-04-15 03:24:49.662007
Nipagin Metilparabeno,25427.17,
